id,lat,lon,name,num_arribos,num_retiros,act
133,19.421138,-99.154725,133 COLIMA-MORELIA,1998.0,1687.0,3685.0
134,19.418304,-99.15956,134 ÁLVARO OBREGÓN-ORIZABA,3292.0,2986.0,6278.0
135,19.419225,-99.15509899999999,135 ÁLVARO OBREGÓN-MORELIA,2486.0,2235.0,4721.0
136,19.417715,-99.162729,136 ÁLVARO OBREGÓN-TONALÁ,3630.0,3260.0,6890.0
137,19.418774,-99.157081,137 ÁLVARO OBREGÓN-MÉRIDA,1726.0,1875.0,3601.0
138,19.417702,-99.155313,138 GUANAJUATO-FRONTERA,1513.0,1602.0,3115.0
139,19.416128,-99.162097,E139 TONALÁ-GUANJUATO,1103.0,1047.0,2150.0
140,19.416605,-99.156853,140 MÉRIDA-ZACATECAS,1626.0,1761.0,3387.0
141,19.415905,-99.15954,141 ZACATECAS-LUIS CABRERA,3572.0,3132.0,6704.0
142,19.413232,-99.164121,142 SAN LUIS POTOSI-EJE 2 PTE. MONTERREY,2027.0,1993.0,4020.0
143,19.414303,-99.157542,143 CÓRDOBA-SAN LUIS POTOSÍ,1438.0,1513.0,2951.0
144,19.415192,-99.154837,144 FRONTERA-SAN LUIS POTOSÍ,1531.0,1271.0,2802.0
145,19.412860000000002,-99.160661,145 EJE 2 SUR YUCATÁN-CHIAPAS,2645.0,2539.0,5184.0
146,19.410737,-99.165716,146 COAHUILA-MANZANILLO,3396.0,3489.0,6885.0
147,19.412182,-99.158443,147 COAHUILA-ORIZABA,1619.0,1715.0,3334.0
148,19.412829000000002,-99.155116,148 COAHUILA-AV.CUAUHTEMOC,1090.0,1371.0,2461.0
149,19.41199,-99.155699,149 MÉRIDA-ANTONIO ANZA,2087.0,1883.0,3970.0
150,19.409965,-99.164292,150 CAMPECHE-MEDELLÍN,2536.0,2261.0,4797.0
151,19.410529,-99.160873,151 CAMPECHE-TONALÁ,2923.0,2646.0,5569.0
152,19.409098,-99.167181,152 TLACOTALPAN-CAMPECHE,1269.0,1279.0,2548.0
153,19.407467999999998,-99.165141,153 MANZANILLO-TLAXCALA,1230.0,1361.0,2591.0
154,19.406682999999997,-99.167962,154 TUXPAN-TLAXCALA,1314.0,1585.0,2899.0
155,19.408217999999998,-99.159911,E155 JALAPA-TLAXCALA,683.0,716.0,1399.0
156,19.407121,-99.16220200000001,156 TEPIC-AMENALCO,0.0,0.0,0.0
157,19.406236,-99.166616,157 TEPIC-TLACOTALPAN,926.0,1009.0,1935.0
158,19.407447,-99.15571700000001,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,2623.0,2615.0,5238.0
159,19.407517000000002,-99.155373,159 HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC,1504.0,1287.0,2791.0
160,19.44025,-99.16346,E160 ALFONSO HERRERA-GABINO BARRERA,742.0,783.0,1525.0
161,19.405533,-99.164913,161 QUINTANA ROO-MANZANILLO,1129.0,1322.0,2451.0
162,19.404907,-99.162485,162 TEHUANTEPEC-MEDELLÍN,1799.0,1718.0,3517.0
