id,lat,lon,name
146,19.410737,-99.165716,146 COAHUILA-MANZANILLO
147,19.412182,-99.158443,147 COAHUILA-ORIZABA
148,19.412829,-99.155116,148 COAHUILA-AV.CUAUHTEMOC
149,19.41199,-99.155699,149 MÉRIDA-ANTONIO ANZA
150,19.409965,-99.164292,150 CAMPECHE-MEDELLÍN
151,19.410529,-99.160873,151 CAMPECHE-TONALÁ
152,19.409098,-99.167181,152 TLACOTALPAN-CAMPECHE
153,19.407468,-99.165141,153 MANZANILLO-TLAXCALA
154,19.406683,-99.167962,154 TUXPAN-TLAXCALA
155,19.408218,-99.159911,E155 JALAPA-TLAXCALA
156,19.407121,-99.162202,156 TEPIC-AMENALCO
157,19.406236,-99.166616,157 TEPIC-TLACOTALPAN
158,19.407447,-99.155717,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC
159,19.407517,-99.155373,159 HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC
160,19.44025,-99.16346,E160 ALFONSO HERRERA-GABINO BARRERA
161,19.405533,-99.164913,161 QUINTANA ROO-MANZANILLO
162,19.404907,-99.162485,162 TEHUANTEPEC-MEDELLÍN
163,19.405246,-99.156431,163 TOLUCA-BAJÍO
164,19.403204,-99.16596,164 BAJÍO-TLACOTALPAN
165,19.404268,-99.160503,165 BAJÍO-EJE 2 PTE. MONTERREY
166,19.406069,-99.183549,166 PROGRESO-CDA. ANTONIO MACEO
167,19.404651,-99.179375,167 GENERAL SALVADOR ALVARADO-PROGRESO
168,19.403997,-99.1776,168 COMERCIO-PROGRESO
169,19.403019,-99.174934,169 PROSPERIDAD-PROGRESO
170,19.404029,-99.184342,170 OBSERVATORIO ORIENTE-REVOLUCIÓN
171,19.402584,-99.178199,171 COMERCIO-JOSE MARTÍ
172,19.4034921,-99.1816002,172 GENERAL FRANCISCO MURGUIA-JOSE MARTÍ
173,19.401682,-99.176398,173 MINERÍA-JOSÉ MARTÍ
174,19.44111,-99.16164,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO
175,19.400767,-99.172533,E175 MUTUALISMO-JOSÉ MARTí
176,19.442689,-99.152286,176 AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO
177,19.408841,-99.181692,177 BENJAMIN HILL-CARLOS ZETINA
178,19.406833,-99.180457,178 TAMAULIPAS-FRANCISCO MURGUÍA
179,19.404452,-99.171438,179 NUEVO LEÓN-QUINTANA ROO
180,19.404554,-99.169953,180 QUINTANA ROO-VILLA HERMOSA
181,19.40472,-99.17448,181 BENJAMIN FRANKLIN-OMETUSCO
182,19.402089,-99.17139,182 PROGRESO-ASTRONOMOS
183,19.43767,-99.16402,183 GABINO BARRERA-GUILLERMO PRIETO
184,19.41479,-99.18508,184 GRAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO M
185,19.4128,-99.1828,185 GRAL ANTONIO LÉON-GRAL PEDRO A DE LOS S.
186,19.4124291,-99.1885117,186 GREGORIO V GELATI-FRANCISCO MOLINOS DEL C
187,19.41123,-99.18551,187 GENERAL CANO-GOBERNADOR GREGORIO V GELATI
188,19.41171,-99.19014,188 GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA 
189,19.41004,-99.18798,189 GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS
190,19.409569,-99.183833,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS
191,19.4079,-99.18795,191 GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA
192,19.42592,-99.190755,192 RUBEN DARIO-REFORMA
193,19.425907,-99.190733,193 RUBEN DARIO-REFORMA
194,19.424282,-99.180334,194 CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA
195,19.424926,-99.185147,195 AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI
196,19.438349,-99.192904,196 LAGO TANGANICA-AV. EJERCITO NACIONAL
197,19.440077,-99.204316,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA
198,19.438168,-99.203888,198 SÓCRATES-EJERCITO NACIONAL 
199,19.437934,-99.197241,199 ANATOLE FRANCE-AV. EJERCITO NACIONAL
200,19.437596,-99.188785,200 EMERSON-AV. EJERCITO NACIONAL
201,19.437431,-99.187215,201 LOPE DE VEGA-EJERCITO NACIONAL 
202,19.43617,-99.198943,202 CALDERON DE LA BARCA-AV. HOMERO
203,19.435985,-99.194832,203 TENNYSON-AV. HOMERO
204,19.435882,-99.19152,204 TEMISTOCLES-HOMERO
205,19.435525,-99.184713,205 TAINE-HOMERO
206,19.435798,-99.201419,206 MOLIERE-HOMERO 
207,19.434861,-99.183322,207 TASSO-HOMERO 
208,19.434182,-99.189835,208 HESIODO-LAMARTINE 
209,19.435478,-99.206359,209 SOLON-HORACIO 
210,19.434076,-99.194091,210 EUGENIO SUE-HORACIO 
211,19.433607,-99.188528,211 NEWTON-HORACIO
212,19.433567,-99.188096,212 HEGEL-HORACIO 
213,19.43432,-99.20632,213 SOLÓN-CICERÓN
214,19.434353,-99.20322,214 PLATÓN-HORACIO
215,19.43384,-99.19968,215 EDGAR ALAN POE-HORACIO
216,19.433419,-99.195746,216 ALEJANDRO DUMAS-HORACIO 
217,19.432888,-99.183605,217 EULER-AV. HORACIO 
218,19.432451,-99.188033,218 HEGEL-IBARBOUROU 
219,19.433542,-99.207808,219 ESOPO-FC DE CUERNAVACA
220,19.432655,-99.205727,220 PLINIO-PRESIDENTE MASARYK 
221,19.431799,-99.201565,221 EMILIO CASTELAR-PRESIDENTE MASARYK 
222,19.431417,-99.195774,E222 ALEJANDRO DUMAS-PRESIDENTE MASARYK
223,19.431242,-99.191613,223 NEWTON-PRESIDENTE MASARYK 
224,19.431255,-99.188065,224 HEGEL-PRESIDENTE MASARYK
225,19.431172,-99.185612,225 PETRARCA-PRESIDENTE MASARYK
226,19.431033,-99.18222,226 WALLON-PRESIDENTE MASARYK
227,19.431791,-99.207373,227 CAMPOS ELÍSEOS-PERIFÉRICO
228,19.427705,-99.19912,228 CAMPOS ELÍSEOS-JEAN DE LA FONTAINE
229,19.430515,-99.203331,229 DICKENS-SENECA
230,19.430098,-99.200074,230 EDGAR ALAN POE-DICKENS
231,19.42977,-99.19349,231 NEWTON-ARISTOTELES 
232,19.42894,-99.185389,232 TAINE-RUBEN DARÍO 
233,19.429314,-99.196965,233 JULIO VERNE-LUIS G. URBINA 
234,19.42783,-99.191539,234 TRES PICOS-ARQUÍMIDES 
235,19.42933,-99.20218,235 CAMPOS ELISEOS-MOLIERE 
236,19.42944,-99.20243,236 CAMPOS ELISEOS-MOLIERE 
237,19.426744,-99.193986,237 ANDRÉS BELLO-ELLIOT 
238,19.426765,-99.193752,238 ANDRÉS BELLO-ELLIOT 
239,19.430153,-99.181355,239 RINCON DEL BOSQUE-RUBEN DARÍO 
240,19.43855,-99.2063,240 EJERCITO NACIONAL-F.C. DE CUERNAVACA 
241,19.43862,-99.20758,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA 
242,19.440344,-99.20105,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE 
243,19.440839,-99.196712,243 MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT 
244,19.440885,-99.193315,244 MIGUEL DE CERVANTES SAAVEDRA-LAGO VICTORIA 
245,19.43819,-99.19048,245 LAGO ONEGA-AV. EJERCITO NACIONAL 
246,19.434147,-99.179835,246 LEIBNITZ-THIERS
247,19.432276,-99.18064,E247 HERSCHEL-ROUSSEAU 
248,19.43175,-99.177399,248 SHAKESPEARE-LAFAYETTE 
249,19.429877,-99.177569,249 SHAKESPEARE-DARWIN 
250,19.429057,-99.17966,250 DARWIN-MARIANO ESCOBEDO 
251,19.429261,-99.17538,251 GOETHE-DARWIN 
252,19.427575,-99.17702,252 VICTOR HUGO-SHAKESPEARE 
253,19.425835,-99.177924,253 DANTE-TOLSTOI 
254,19.43935,-99.16007,254 ALFONSO HERRERA-MIGUEL SHULTZ 
255,19.437159,-99.161808,255 JOSE ROSAS MORENO-GUILLERMO PRIETO 
256,19.4372,-99.15816,256 GÓMEZ FARÍAS-SADI CARNOT 
257,19.4338,-99.16622,E257 MANUEL MARIA CONTRERAS-VILLALONGIN 
258,19.4167,-99.1791,258 CIRCUITO INTERIOR-JUAN ESCUTIA 
259,19.43757,-99.15468,259 TÓMAS ALVA EDISON-PONCIANO ARRIAGA 
260,19.435354,-99.147742,E260 AV JUAREZ-BALDERAS 
261,19.42495,-99.17246,261 PASEO DE LA REFORMA - RÍO DE LA PLATA
262,19.43693,-99.13395,262 REPUBLICA DE CUBA-REPUBLICA DE BRASIL 
263,19.436274,-99.158425,263 SADI CARNOT-GÓMEZ FARIAS 
264,19.440985,-99.152935,264 HÉROES FERROCARRILEROS-AV. CENTRAL
265,19.440839,-99.152265,265 HÉROES FERROCARRILEROS-JESÚS GARCIA
266,19.444031,-99.152187,266 AV. JESÚS GARCIA-CARLOS J. MENESES 
267,19.443735,-99.152203,267 AV. JESÜS GARCÏA-CARLOS J. MENESES
268,19.442467,-99.151658,268 LUIS DONALDO COLOSIO-AV.JESÚS GARCÍA 
269,19.442448,-99.151586,269 LUIS DONALDO COLOSIO-ALDAMA 
270,19.43676,-99.15387,270 DE LA REPUBLICA-PONCIANO ARRIAGA 
271,19.443928,-99.152525,271 AV. CENTRAL-J. MENESES 
272,19.443556,-99.152556,272 AV. CENTRAL-J. MENESES 
273,19.442707,-99.152956,273 LUIS DONALDO COLOSIO-AV. CENTRAL
274,19.442772,-99.153289,274 LUIS DONALDO COLOSIO-AV INSURGENTES NORTE 
275,19.441062,-99.153164,275 HÉROES FERROCARRILEROS-AV. INSURGENTES NORTE
276,19.401986,-99.156366,276 ANAXÁGORAS-OBRERO MUNDIAL
277,19.401807,-99.15909,277 AMPLIACIÓN TONALÁ-OBRERO MUNDIAL
278,19.40071,-99.163831,278 MIER Y PESADO-OBRERO MUNDIAL
279,19.399908,-99.166553,279 LA MORENA-PROVIDENCIA
280,19.4015,-99.156406,280 ANAXÁGORAS-OBRERO MUNDIAL
281,19.398532,-99.157308,281 PITÁGORAS-LA MORENA
282,19.398692,-99.161273,282 LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA
283,19.39827,-99.167383,283 AV. COYOACÁN-RAFAEL DONDE
284,19.397693,-99.172981,284 DAKOTA-VERMONT
285,19.3997946,-99.1775178,285 12 DE OCTUBRE-MINERIA
286,19.399201,-99.179943,286 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO
